Id,PM2.5
0,4.545
2,5.31
12,3.51
15,10.86
17,12.35
18,12.17
27,4.52
30,6.91
32,4.4
34,14.53
35,33.69
45,86.7
49,120.42
61,106.29
63,49.77
69,114.63
82,7.95
84,8.48
91,56.2
97,128.61
112,213.75
113,217.04
122,176.2
129,199.99
132,161.83
134,232.78
135,271.54
136,309.96
139,294.24
143,251.77
144,266.35
148,294.46
151,205.54
152,222.86
158,126.78
161,341.19
164,327.38
168,285.95
172,146.85
173,169.31
175,341.06
187,108.47
190,113.63
193,108.83
197,49.93
199,26.08
205,10.21
210,15.56
211,24.84
216,43.01
225,60.48
226,71.03
231,99.79
234,97.09
246,113.44
247,114.59
250,173.05
254,105.2
256,133.69
257,151.48
261,111.99
266,115.15
276,28.74
287,21.09
293,4.97
302,84.29
303,74.53
307,70.02
313,93.04
332,142.95
333,126.02
335,157.09
344,249.65
349,323.18
354,243.22
360,213.31
363,144.65
364,149.38
367,185.81
391,332.49
394,377.22
399,259.51
401,40.38
403,42.64
405,3.93
406,9.09
411,11.43
413,11.53
420,42.82
422,37.53
423,43.87
428,45.48
431,35.29
433,42.3
438,64.11
444,23.71
448,40.9
456,48.08
462,87.93
464,96.25
468,76.21
480,194.24
482,193.8
484,206.21
491,119.56
492,45.2
499,100.4
503,75.27
506,71.75
511,68.12
514,108.19
516,116.94
518,109.53
533,216.16
536,229.23
545,119.39
552,23.33
554,14.35
558,11.43
572,35.19
580,129.31
599,109.79
611,71.02
621,87.3
626,82.81
627,69.46
637,117.42
638,137.85
640,148.83
648,210.86
649,201.92
653,200.48
654,220.77
657,243.28
659,235.55
661,49.44
663,22.19
665,57.68
667,47.28
673,13.78
676,4.896333333333334
688,112.4
691,121.28
694,145.23
695,121.55
699,140.0
700,164.46
705,178.95
710,134.3
721,43.95
722,45.02
725,56.92
739,158.06
758,89.26
767,4.27
771,5.39
772,5.97
775,4.3533333333333335
777,4.426666666666666
780,14.67
781,17.56
799,88.64
800,96.14
806,71.17
815,104.88
824,37.41
832,13.33
833,21.82
835,37.55
843,30.015
848,12.0
850,10.18
858,15.77
861,13.42
864,13.24
867,11.42
883,8.33
885,17.59
886,16.11
890,40.44
905,12.64
916,62.25
917,67.94
938,103.5
939,103.42
941,141.23
947,105.6
953,26.3
963,50.82
966,16.73
984,104.274
990,87.23700000000001
999,147.43
1002,97.77
1007,85.91
1011,120.31
1014,81.55
1019,101.25
1020,81.96
1022,49.27
1026,48.37
1033,71.25
1035,57.67
1036,58.98
1042,56.34
1046,24.42
1057,10.0
1058,9.69
1060,12.345
1062,11.63
1068,53.51
1072,102.38
1078,31.71
1079,26.53
1083,47.31
1085,49.86
1092,61.89
1099,57.27
1103,61.55
1107,61.59
1109,59.85
1110,57.38
1113,74.78
1114,79.75
1116,86.88
1121,152.22
1124,153.05
1126,94.34
1129,91.51
1139,224.76
1147,150.49
1150,184.19
1162,61.77
1164,23.1
1169,13.5
1172,11.12
1174,17.82
1191,12.86
1199,145.88
1205,109.85
1207,164.51
1209,92.07
1211,84.57
1212,88.09
1214,82.25
1218,58.57
1219,79.21
1224,113.05
1225,97.47
1226,113.42
1235,88.53
1237,92.29
1245,86.98
1246,91.72
1251,93.45
1252,97.49
1253,77.65
1257,44.61
1259,12.52
1265,18.27
1266,26.57
1276,21.92
1278,16.04
1283,34.06
1285,28.55
1290,19.79
1305,109.12
1308,54.15
1321,46.52
1323,67.05
1329,59.2
1331,87.59
1340,108.42
1348,42.48
1353,72.01
1355,83.2
1356,96.0
1360,180.21
1362,181.07
1366,216.89
1368,174.32
1372,160.74
1378,241.23
1379,203.7
1387,244.592
1391,218.6
1394,67.6
1395,116.92
1397,63.1
1398,73.37
1400,109.64
1401,146.36
1410,126.29
1411,181.28
1412,222.27199999999996
1414,242.31
1415,238.31
1427,171.84
1440,160.27
1442,112.61
1443,72.68
1454,36.26
1455,52.09
1458,58.7
1471,49.23
1479,114.15
1481,35.38
1485,14.18
1489,22.27
1494,46.84
1495,50.53
1500,67.09
1501,82.38
1503,68.11
1504,60.64
1505,70.48
1509,31.1
1512,29.88
1523,68.14
1531,22.16
1534,39.59
1538,87.16
1539,112.03
1542,120.61
1544,53.17
1566,210.75
1569,188.67
1572,36.06
1573,25.7
1576,23.62
1578,25.36
1582,29.15
1586,42.65
1587,54.17
1595,54.24
1600,110.21
1612,76.71
1613,79.18
1614,69.94
1616,94.11
1617,75.09
1618,62.37
1619,73.77
1622,70.75
1625,103.0
1634,76.54
1637,78.255
1640,76.08
1642,80.03
1647,108.96
1666,175.46
1675,90.44
1696,77.16
1697,96.06
1699,95.34
1705,56.41
1711,48.9
1715,124.18
1716,54.91
1718,42.45
1726,134.51
1736,233.36
1740,139.31
1741,40.34
1742,59.4
1744,177.57
1748,37.75
1749,33.13
1754,69.78
1758,57.63
1765,103.78
1767,111.36
1770,91.69
1772,104.08
1785,98.84
1786,125.08
1789,147.73
1794,113.17
1802,44.42
1808,36.27
1811,75.68
1813,89.2
1815,87.78
1820,128.71
1821,84.76
1825,71.5
1828,70.35
1830,85.32
1832,99.24
1834,65.74
1839,59.19
1840,36.68
1841,36.17
1847,46.96
1860,19.23
1862,22.77
1863,21.255
1869,42.51
1875,76.79
1877,38.5
1883,103.67
1886,58.72
1892,70.23
1895,56.75
1909,127.45
1911,103.28
1914,77.5
1915,93.08
1917,98.62
1922,102.58
1929,31.81
1931,14.24
1932,13.47
1940,87.62899999999999
1949,190.21
1952,254.15
1962,122.07
1963,122.67
1967,161.01
1969,149.86
1970,138.72
1974,121.91
1976,50.43
1990,184.37
1991,202.04
1997,150.07
2000,133.71
2002,69.35
2006,76.29
2014,54.54
2015,34.43
2022,112.99
2026,154.2
2028,153.19
2032,183.69
2040,149.83
2050,127.66
2054,153.46
2056,135.25
2058,146.89
2060,135.9
2062,151.26
2063,145.93
2065,110.67
2083,151.03
2093,206.22
2096,244.46
2103,189.29
2117,5.19
2124,13.32
2126,21.91
2128,26.0
